id,name_en,name_ko,name_ko_alt,type,lat,lng,verses,status
a061538,Zer,Zer,,도시,32.799722,35.459722,여호수아 19:35,확인 필요
ab5161f,Zered,Zered,,강,31.02701,35.48533,신명기 2:13; 신명기 2:14,확인 필요
a07ae2d,Zeredah 1,Zeredah 1,,도시,32.04638,35.09719,열왕기상 11:26,확인 필요
a6dc035,Zeredah 2,Zeredah 2,,도시,32.26769,35.577241,역대하 4:17,확인 필요
a0bccbd,Zererah,Zererah,,도시,32.26769,35.577241,사사기 7:22,확인 필요
a31a510,Zereth-shahar,Zereth-shahar,,도시,31.597,35.559306,여호수아 13:19,확인 필요
a8248e0,Ziddim,Ziddim,,도시,32.80758,35.45382,여호수아 19:35,확인 필요
a0ed7ff,Ziklag,Ziklag,,도시,31.3912,34.6816,여호수아 15:31; 여호수아 19:5; 사무엘상 27:6; 사무엘상 30:1; 사무엘상 30:3,확인 필요
a5bbf9c,Zimri,Zimri,,지역,32.18922,48.25778,예레미야 25:25,확인 필요
a0b5c50,Zin 1,Zin 1,,지역,30.971,35.325,민수기 13:21; 민수기 20:1; 민수기 27:14; 민수기 33:36; 민수기 34:3,확인 필요
a190097,Zin 2,Zin 2,,지역,30.971,35.325,민수기 34:4; 여호수아 15:3,확인 필요
af20c46,Zion,시온,,도시,31.776667,35.234167,사무엘하 5:7; 열왕기상 8:1; 열왕기하 19:21; 역대상 11:5; 역대하 5:2,공식 성경 표기
ac2907d,Zior,Zior,,도시,31.525087,35.10222,여호수아 15:54,확인 필요
a9b852f,Ziph 1,Ziph 1,,도시,31.47475,35.13514,여호수아 15:55; 사무엘상 23:19; 사무엘상 23:24; 사무엘상 26:1; 역대하 11:8,확인 필요
aab3ff0,Ziph 2,Ziph 2,,도시,30.99677,34.98188,여호수아 15:24,확인 필요
adf05b8,Ziphron,Ziphron,,도시,34.266667,37.066667,민수기 34:9,확인 필요
a4446f1,Ziz,Ziz,,지역,31.5607,35.38364,역대하 20:16,확인 필요
ac31fee,Zoan,Zoan,,도시,30.976944,31.88,민수기 13:22; 시편 78:12; 시편 78:43; 이사야 19:11; 이사야 19:13,확인 필요
aacfcda,Zoar,Zoar,,도시,31.036904,35.487657,창세기 13:10; 창세기 14:2; 창세기 14:8; 창세기 19:22; 창세기 19:23,확인 필요
a4aa78a,Zobah,Zobah,,지역,33.935278,36.150833,사무엘상 14:47; 사무엘하 8:3; 사무엘하 8:5; 사무엘하 8:12; 사무엘하 10:6,확인 필요
ae7f7b5,Zophim,Zophim,,natural area,31.77107,35.73394,민수기 23:14,확인 필요
a08174b,Zorah,Zorah,,도시,31.773992,34.985289,여호수아 15:33; 여호수아 19:41; 사사기 13:2; 사사기 13:25; 사사기 16:31,확인 필요
a4d0250,Zuph,Zuph,,지역,31.85434,35.23161,사무엘상 9:5,확인 필요
